Total Tourists,Year,Monthly Data,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Kerela”,Trains to “Kerela”,Category : Hotels,Rain,T_Max,T_Min
818356,2010,2010-01,61,51,40,78,41,0,35,45,6.8313,29.35,15.42
721201,,2010-02,60,44,42,72,42,0,35,0,20.1979,31.79,16.11
719944,,2010-03,54,47,44,66,49,0,90,0,66.8573,33.31,18.42
735432,,2010-04,54,49,40,65,43,0,100,0,94.4786,33.71,20.62
803431,,2010-05,69,54,43,64,38,0,56,26,112.6957,33.06,19.15
639640,,2010-06,66,49,35,64,43,0,59,40,604.811,31.8,19.47
632523,,2010-07,66,53,36,68,46,0,26,54,735.4057,30.12,18.91
705455,,2010-08,63,59,45,72,46,0,30,36,395.2997,29.24,19.26
698762,,2010-09,67,57,40,64,44,0,34,100,250.6998,29.15,19.34
886029,,2010-10,62,54,41,62,41,73,35,66,399.7565,29.16,18.92
882353,,2010-11,56,50,49,71,50,100,50,0,345.4486,28.38,17.56
1011214,,2010-12,61,52,50,72,54,0,53,41,27.9159,28.13,15.84
872030,2011,2011-01,56,50,49,67,55,0,34,51,4.9883,29.13,15.22
770512,,2011-02,58,44,47,63,59,91,47,53,69.2702,30.15,14.43
753599,,2011-03,50,40,50,65,57,0,38,32,15.2515,31.83,16.63
779712,,2011-04,58,47,49,68,54,0,60,13,75.8709,31.92,19.37
853926,,2011-05,64,47,50,58,56,34,53,25,56.6954,31.77,19.41
680654,,2011-06,55,50,47,61,65,0,34,24,539.8421,29.35,19.42
684737,,2011-07,58,50,52,65,63,0,48,21,303.1778,28.8,19.06
776193,,2011-08,52,50,63,67,68,0,41,27,401.7025,28.7,19.3
791985,,2011-09,45,52,54,69,59,0,48,6,267.491,29.61,18.6
1013044,,2011-10,52,50,59,61,61,0,43,23,174.5188,30.06,19.25
987385,,2011-11,51,52,60,60,52,20,44,25,210.9192,28.58,15.47
1150663,,2011-12,52,55,54,53,48,19,45,16,41.0428,28.74,14.29
937791,2012,2012-01,52,43,45,50,50,26,31,11,3.7459,29.25,13.27
815119,,2012-02,44,42,47,55,53,0,41,9,5.2003,31.98,15.48
803386,,2012-03,41,43,52,58,54,0,47,14,11.9416,32.35,18.58
821615,,2012-04,40,48,46,60,48,0,44,12,126.9397,32.83,18.88
923932,,2012-05,46,51,46,56,56,0,53,7,58.8536,32.26,20.17
724177,,2012-06,46,48,50,63,58,0,43,20,349.2896,31.9,19.4
722192,,2012-07,45,54,56,62,56,16,37,16,278.1448,29.81,19.01
837464,,2012-08,40,52,62,77,53,0,54,8,358.0054,29.49,19.08
862020,,2012-09,38,52,54,63,56,20,47,18,161.3312,30.16,18.94
1122220,,2012-10,40,49,53,58,56,14,44,21,164.2022,30.61,18.82
1081390,,2012-11,43,55,59,60,56,0,46,9,54.271,29.6,15.96
1219244,,2012-12,39,53,59,63,48,0,53,17,1.4028,29.87,16.07
1026830,2013,2013-01,41,50,55,64,51,0,44,14,0,30.13,15.1
887283,,2013-02,37,38,47,65,52,0,35,0,15.0353,30.67,15.98
