Tourists,Year,Month,No_of_flight_bookings,No_of_hotel_booked,Tourism,Tourism_Packages,Tourist_Places,Travel,Food_Drink,Flights_Kerala,Trains_Kerala,Rain,T_Max,T_Min
818356,2010,Jan,"2,991","5,13,769",86,82,24,51,78,0,35,6.8313,29.35,15.42
721201,2010,Feb,"2,812","4,56,516",89,32,0,44,72,0,35,20.1979,31.79,16.11
719944,2010,Mar,"3,136","4,16,804",100,100,33,47,66,0,90,66.8573,33.31,18.42
735432,2010,Apr,"2,668","4,34,216",92,85,32,49,65,0,100,94.4786,33.71,20.62
803431,2010,May,"2,518","4,87,753",100,29,18,54,64,0,56,112.6957,33.06,19.15
639640,2010,Jun,"2,403","4,39,418",89,0,36,49,64,0,59,604.811,31.8,19.47
632523,2010,Jul,"3,153","3,76,094",87,57,59,53,68,0,26,735.4057,30.12,18.91
705455,2010,Aug,"3,322","4,13,875",74,40,0,59,72,0,30,395.2997,29.24,19.26
698762,2010,Sep,"3,491","4,11,740",81,58,23,57,64,0,34,250.6998,29.15,19.34
886029,2010,Oct,"3,660","5,30,854",73,28,28,54,62,73,35,399.7565,29.16,18.92
882353,2010,Nov,"3,829","5,20,157",60,52,0,50,71,100,50,345.4486,28.38,17.56
1011214,2010,Dec,"3,998","5,95,064",60,44,100,52,72,0,53,27.9159,28.13,15.84
872030,2011,Jan,"3,305","5,66,194",42,44,28,50,67,0,34,4.9883,29.13,15.22
770512,2011,Feb,"3,157","4,46,124",37,28,12,44,63,91,47,69.2702,30.15,14.43
753599,2011,Mar,"3,479","4,36,695",33,23,22,40,65,0,38,15.2515,31.83,16.63
779712,2011,Apr,"2,971","4,45,702",37,45,17,47,68,0,60,75.8709,31.92,19.37
853926,2011,May,"2,805","4,85,119",40,57,46,47,58,34,53,56.6954,31.77,19.41
680654,2011,Jun,"2,654","3,72,761",43,54,18,50,61,0,34,539.8421,29.35,19.42
684737,2011,Jul,"3,475","3,89,329",41,50,15,50,65,0,48,303.1778,28.8,19.06
776193,2011,Aug,"3,644","4,53,646",39,41,29,50,67,0,41,401.7025,28.7,19.3
791985,2011,Sep,"3,813","4,45,503",40,31,25,52,69,0,48,267.491,29.61,18.6
1013044,2011,Oct,"3,982","6,10,778",42,24,26,50,61,0,43,174.5188,30.06,19.25
987385,2011,Nov,"4,151","6,07,414",40,40,21,52,60,20,44,210.9192,28.58,15.47
1150663,2011,Dec,"4,320","6,92,246",39,34,36,55,53,19,45,41.0428,28.74,14.29
937791,2012,Jan,"3,665","5,97,202",32,23,34,43,50,26,31,3.7459,29.25,13.27
815119,2012,Feb,"3,518","5,20,646",28,35,15,42,55,0,41,5.2003,31.98,15.48
803386,2012,Mar,"3,841","4,82,689",31,23,24,43,58,0,47,11.9416,32.35,18.58
821615,2012,Apr,"3,156","4,97,126",38,38,34,48,60,0,44,126.9397,32.83,18.88
923932,2012,May,"3,000","5,41,032",42,29,36,51,56,0,53,58.8536,32.26,20.17
724177,2012,Jun,"2,844","4,21,741",45,36,32,48,63,0,43,349.2896,31.9,19.4
722192,2012,Jul,"3,719","4,20,329",45,23,24,54,62,16,37,278.1448,29.81,19.01
837464,2012,Aug,"3,888","4,82,159",46,35,34,52,77,0,54,358.0054,29.49,19.08
862020,2012,Sep,"4,047","5,36,985",41,31,8,52,63,20,47,161.3312,30.16,18.94
1122220,2012,Oct,"4,216","7,22,951",37,36,42,49,58,14,44,164.2022,30.61,18.82
1081390,2012,Nov,"4,385","6,55,699",34,41,20,55,60,0,46,54.271,29.6,15.96
1219244,2012,Dec,"4,554","7,23,689",38,23,33,53,63,0,53,1.4028,29.87,16.07
1026830,2013,Jan,"4,013","7,79,061",37,28,22,50,64,0,44,0,30.13,15.1
887283,2013,Feb,"3,866","6,01,424",29,22,5,38,65,0,35,15.0353,30.67,15.98
865039,2013,Mar,"4,183","5,34,401",30,26,23,42,68,48,43,73.5684,32.71,17.83
879626,2013,Apr,"3,382","4,83,251",31,20,15,42,65,0,49,132.8828,33.33,20.42
1019007,2013,May,"3,216","4,82,243",39,24,12,49,64,19,45,47.788,33.4,20.31
774461,2013,Jun,"3,050","5,38,504",34,25,17,51,66,0,43,975.2108,29.18,18.95
769908,2013,Jul,"3,925","4,63,719",30,17,15,51,72,0,36,644.7461,28.8,18.78
907513,2013,Aug,"4,094","5,49,458",32,20,15,57,71,0,42,335.1837,29.28,18.73
943445,2013,Sep,"4,263","5,68,060",35,23,21,51,80,14,57,217.9285,29.97,19.11
1183420,2013,Oct,"4,432","7,15,227",36,29,24,56,71,0,50,204.8367,29.71,18.48
1155608,2013,Nov,"4,601","6,97,726",41,31,18,56,73,0,53,36.3892,28.84,18.55
1303814,2013,Dec,"4,770","7,87,799",32,28,23,58,71,16,48,20.6589,29.16,16.31
1116473,2014,Jan,"4,282","6,72,399",25,16,16,56,61,0,33,0,29.3293,16.1713
