Date,Tourists,Year,Month,No_of_flight_bookings,No_of_hotel_booked,Tourism,Tourism_Packages,Tourist_Places,Travel,Food_Drink,Flights_Kerala,Trains_Kerala,Rain,T_Max,T_Min
2010-01-01,818356.0,2010,1,2991,2123306.25,86,82,24,51,78,0,35,6.8313,29.35,15.42
2010-02-01,721201.0,2010,2,2812,1861236.0,89,32,0,44,72,0,35,20.1979,31.79,16.11
2010-03-01,719944.0,2010,3,3136,1797776.875,100,100,33,47,66,0,90,66.8573,33.31,18.42
2010-04-01,735432.0,2010,4,2668,1787449.625,92,85,32,49,65,0,100,94.4786,33.71,20.62
2010-05-01,803431.0,2010,5,2518,1795854.375,100,29,18,54,64,0,56,112.6957,33.06,19.15
2010-06-01,639640.0,2010,6,2403,1605509.25,89,0,36,49,64,0,59,604.811,31.8,19.47
2010-07-01,632523.0,2010,7,3153,1664644.125,87,57,59,53,68,0,26,735.4057,30.12,18.91
2010-08-01,705455.0,2010,8,3322,1703256.75,74,40,0,59,72,0,30,395.2997,29.24,19.26
2010-09-01,698762.0,2010,9,3491,1904572.125,81,58,23,57,64,0,34,250.6998,29.15,19.34
2010-10-01,886029.0,2010,10,3660,2302128.0,73,28,28,54,62,73,35,399.7565,29.16,18.92
2010-11-01,882353.0,2010,11,3829,2459636.75,60,52,0,50,71,100,50,345.4486,28.38,17.56
2010-12-01,1011214.0,2010,12,3998,2711705.25,60,44,100,52,72,0,53,27.9159,28.13,15.84
2011-01-01,872030.0,2011,1,3305,2268088.0,42,44,28,50,67,0,34,4.9883,29.13,15.22
2011-02-01,770512.0,2011,2,3157,2178002.5,37,28,12,44,63,91,47,69.2702,30.15,14.43
2011-03-01,753599.0,2011,3,3479,2030245.5,33,23,22,40,65,0,38,15.2515,31.83,16.63
2011-04-01,779712.0,2011,4,2971,1969561.875,37,45,17,47,68,0,60,75.8709,31.92,19.37
2011-05-01,853926.0,2011,5,2805,2083776.25,40,57,46,47,58,34,53,56.6954,31.77,19.41
2011-06-01,680654.0,2011,6,2654,1767006.0,43,54,18,50,61,0,34,539.8421,29.35,19.42
2011-07-01,684737.0,2011,7,3475,1823493.75,41,50,15,50,65,0,48,303.1778,28.8,19.06
2011-08-01,776193.0,2011,8,3644,1942367.0,39,41,29,50,67,0,41,401.7025,28.7,19.3
2011-09-01,791985.0,2011,9,3813,2209334.75,40,31,25,52,69,0,48,267.491,29.61,18.6
2011-10-01,1013044.0,2011,10,3982,2532044.0,42,24,26,50,61,0,43,174.5188,30.06,19.25
2011-11-01,987385.0,2011,11,4151,2725364.5,40,40,21,52,60,20,44,210.9192,28.58,15.47
2011-12-01,1150663.0,2011,12,4320,3056374.5,39,34,36,55,53,19,45,41.0428,28.74,14.29
2012-01-01,937791.0,2012,1,3665,2542235.5,32,23,34,43,50,26,31,3.7459,29.25,13.27
2012-02-01,815119.0,2012,2,3518,2430842.0,28,35,15,42,55,0,41,5.2003,31.98,15.48
2012-03-01,803386.0,2012,3,3841,2263292.5,31,23,24,43,58,0,47,11.9416,32.35,18.58
2012-04-01,821615.0,2012,4,3156,2117615.5,38,38,34,48,60,0,44,126.9397,32.83,18.88
2012-05-01,923932.0,2012,5,3000,2085121.75,42,29,36,51,56,0,53,58.8536,32.26,20.17
2012-06-01,724177.0,2012,6,2844,1901941.375,45,36,32,48,63,0,43,349.2896,31.9,19.4
2012-07-01,722192.0,2012,7,3719,2011410.875,45,23,24,54,62,16,37,278.1448,29.81,19.01
2012-08-01,837464.0,2012,8,3888,2200884.5,46,35,34,52,77,0,54,358.0054,29.49,19.08
2012-09-01,862020.0,2012,9,4047,2517703.0,41,31,8,52,63,20,47,161.3312,30.16,18.94
2012-10-01,1122220.0,2012,10,4216,2827008.5,37,36,42,49,58,14,44,164.2022,30.61,18.82
2012-11-01,1081390.0,2012,11,4385,2989538.0,34,41,20,55,60,0,46,54.271,29.6,15.96
2012-12-01,1219244.0,2012,12,4554,3399438.0,38,23,33,53,63,0,53,1.4028,29.87,16.07
2013-01-01,1026830.0,2013,1,4013,2844876.0,37,28,22,50,64,0,44,0.0,30.13,15.1
2013-02-01,887283.0,2013,2,3866,2493161.5,29,22,5,38,65,0,35,15.0353,30.67,15.98
2013-03-01,865039.0,2013,3,4183,2412263.25,30,26,23,42,68,48,43,73.5684,32.71,17.83
2013-04-01,879626.0,2013,4,3382,2322155.75,31,20,15,42,65,0,49,132.8828,33.33,20.42
2013-05-01,1019007.0,2013,5,3216,2459595.25,39,24,12,49,64,19,45,47.788,33.4,20.31
2013-06-01,774461.0,2013,6,3050,2269265.0,34,25,17,51,66,0,43,975.2108,29.18,18.95
2013-07-01,769908.0,2013,7,3925,2110667.25,30,17,15,51,72,0,36,644.7461,28.8,18.78
2013-08-01,907513.0,2013,8,4094,2330790.75,32,20,15,57,71,0,42,335.1837,29.28,18.73
2013-09-01,943445.0,2013,9,4263,2603177.5,35,23,21,51,80,14,57,217.9285,29.97,19.11
2013-10-01,1183420.0,2013,10,4432,2820054.5,36,29,24,56,71,0,50,204.8367,29.71,18.48
2013-11-01,1155608.0,2013,11,4601,3090055.25,41,31,18,56,73,0,53,36.3892,28.84,18.55
