Total Tourists,Year,Monthly Data,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Shimla”,Trains to “Shimla”,Category : Hotels ,Rain,T_Max,T_Min
172312,2010,2010-01,33,42,0,10,0,51,0,40,11.4156,19.98,2.03
161860,,2010-02,29,32,50,16,0,0,0,66,73.3616,24.85,3.66
188961,,2010-03,35,47,51,5,0,81,20,78,25.8435,31.64,8.52
363600,,2010-04,36,47,0,0,0,100,0,100,25.628,37.6,13.62
369630,,2010-05,41,45,100,12,0,39,44,94,56.6109,38.56,14.89
408653,,2010-06,35,43,34,22,62,32,0,90,122.9238,37.46,15
192791,,2010-07,67,53,0,16,0,16,26,39,362.2667,32.24,17.78
134041,,2010-08,62,70,0,9,0,27,62,33,298.9171,29.91,19.87
199807,,2010-09,43,45,0,3,0,36,37,34,165.0393,29.34,15.67
135361,,2010-10,42,36,23,4,0,32,40,56,25.6397,29.42,10.12
108520,,2010-11,30,40,0,12,0,28,23,41,17.8269,26.14,5.3
177765,,2010-12,31,30,0,10,0,35,24,46,43.0806,21.02,2.68
191790,2011,2011-01,21,16,0,9,63,23,33,45,17.4363,17.78,1.39
181459,,2011-02,22,25,0,10,0,14,0,38,34.2978,22.24,4.17
211635,,2011-03,20,21,30,5,0,41,0,44,13.27,29.16,6.56
408219,,2011-04,26,28,38,6,0,47,66,68,27.048,33.63,9.79
402197,,2011-05,28,33,0,10,0,50,0,68,53.032,35.65,16.01
444430,,2011-06,34,41,0,9,0,33,52,58,319.9445,34.27,14.13
210207,,2011-07,33,23,0,13,0,25,0,30,481.3252,31.72,19.75
236867,,2011-08,25,23,0,14,0,18,44,36,424.7342,31.51,18.82
220631,,2011-09,29,29,0,7,0,41,15,36,121.0124,31.31,17.16
167703,,2011-10,26,28,0,9,0,34,0,36,0,29.05,10.61
111232,,2011-11,23,26,0,9,0,25,14,41,0,25.5,6.78
166067,,2011-12,27,25,15,7,0,27,0,43,11.0331,23.29,1.73
208026,2012,2012-01,31,25,15,12,0,22,36,29,64.3519,17.55,0.57
187414,,2012-02,27,25,0,10,0,0,36,32,14.3368,21.49,-0.42
206098,,2012-03,31,32,16,16,0,31,15,37,8.8013,29.83,4.42
359463,,2012-04,29,29,0,9,0,31,12,38,30.0535,31.75,11.06
447560,,2012-05,31,30,0,12,0,28,26,53,1.3844,39.03,12.67
477202,,2012-06,31,30,25,11,27,17,23,46,43.9794,38.31,18.9
228014,,2012-07,33,33,15,11,0,16,0,36,335.2097,36.67,20.16
292884,,2012-08,25,20,31,9,0,21,13,29,382.1077,30.88,19.7
229864,,2012-09,22,26,0,9,0,22,0,33,116.8181,30.58,16.8
247014,,2012-10,27,27,0,7,0,35,40,31,0,29.75,9.2
184362,,2012-11,28,25,37,5,0,31,13,21,1.7464,25.7,5.36
286102,,2012-12,32,30,0,7,0,35,27,51,14.1954,22.51,3.56
230388,2013,2013-01,31,28,0,6,0,27,9,35,111.9616,18.81,0.45
199065,,2013-02,34,37,0,9,0,18,18,31,144.582,21.01,3.59
228198,,2013-03,22,20,21,6,0,52,11,35,58.5526,26.87,6.27
389618,,2013-04,21,18,61,12,0,47,24,41,16.567,31.93,10.82
456247,,2013-05,23,22,0,10,0,49,0,47,29.9138,38.57,14.16
150474,,2013-06,19,7,0,10,0,29,17,49,165.4249,36.21,16.74
196836,,2013-07,20,15,12,11,0,16,0,26,113.0902,31.64,20.35
232731,,2013-08,15,16,0,8,0,19,12,20,158.2861,30.62,19.97
254311,,2013-09,18,19,0,11,0,21,19,27,52.0745,30.6,15.8
287020,,2013-10,15,11,0,11,0,37,0,22,35.3797,28.71,10.24
205247,,2013-11,19,24,0,11,0,27,20,27,5.1534,24.8,6.34
326862,,2013-12,23,23,0,7,0,29,0,39,10.734,21.94,1.68
241390,2014,2014-01,24,29,0,12,0,31,18,28,59.4252,18.8375,1.7369
209093,,2014-02,27,27,26,14,22,27,15,28,100.8237,21.0612,2.3819
231620,,2014-03,19,19,11,8,0,31,0,28,130.1475,25.8675,5.3348
395342,,2014-04,34,41,0,6,0,36,50,37,75.9606,34.7074,9.5652
464799,,2014-05,35,37,0,10,0,33,44,46,66.663,36.0435,12.3954
245825,,2014-06,56,54,13,9,0,38,36,49,81.7504,38.2157,17.675
209068,,2014-07,56,55,21,12,37,24,63,32,286.3632,34.1653,19.9343
255623,,2014-08,47,44,11,17,80,29,74,36,81.6852,32.3313,19.0106
271305,,2014-09,46,47,0,18,27,36,29,35,71.3312,30.525,16.8266
301406,,2014-10,58,54,16,17,0,24,23,34,21.8498,29.1648,10.547
222378,,2014-11,54,53,23,11,0,32,32,32,0,25.4919,6.1395
302023,,2014-12,82,87,21,11,0,33,50,47,47.4104,23.2484,2.3968
258178,2015,2015-01,86,83,16,18,61,43,56,38,48.7749,18.9557,1.8853
216834,,2015-02,80,78,20,21,46,45,55,28,62.5411,23.644,3.6323
250439,,2015-03,97,100,12,17,67,44,54,33,171.733,29.4273,4.8714
411917,,2015-04,86,88,30,18,59,45,35,46,65.4204,32.119,10.2881
476733,,2015-05,91,91,15,18,39,50,42,54,15.3396,35.7891,13.3267
263247,,2015-06,100,99,24,19,0,45,100,63,73.3447,35.8998,17.3989
227302,,2015-07,31,27,15,14,0,30,0,27,215.7152,32.2515,18.7907
271660,,2015-08,27,22,18,12,27,22,31,22,174.976,30.8992,19.344
286686,,2015-09,32,29,0,10,0,38,0,27,35.5707,31.0059,15.609
308597,,2015-10,35,33,30,8,20,39,23,25,11.6695,29.9798,9.927
185083,,2015-11,62,48,16,10,93,30,27,27,10.0053,25.1109,7.474
258631,,2015-12,72,75,0,21,24,45,42,47,21.8262,22.5806,2.4179
267595,2016,2016-01,29,28,0,11,0,35,45,33,28.3976,20.1256,2.2358
222043,,2016-02,27,26,0,7,0,30,34,29,53.9505,23.8566,4.0363
259309,,2016-03,26,32,0,11,38,39,27,33,90.7272,29.3864,8.5703
330841,,2016-04,26,27,0,14,27,54,26,45,33.0939,34.3731,11.8309
425596,,2016-05,28,28,0,13,0,54,12,50,67.6164,36.6416,15.1632
492727,,2016-06,24,25,0,8,0,42,42,54,117.2465,35.2531,19.1138
235905,,2016-07,23,21,0,10,0,23,28,32,256.0716,31.7815,19.1739
278908,,2016-08,25,23,11,4,0,26,30,28,230.2051,31.3819,19.7026
300273,,2016-09,23,28,13,5,0,30,13,26,22.7543,30.5136,17.4863
321856,,2016-10,30,34,0,14,29,37,0,22,0.8471,30.3707,11.055
177446,,2016-11,40,44,0,8,0,35,48,23,0,26.0436,7.66
269606,,2016-12,35,42,10,5,27,34,27,47,4.4351,22.8125,5.1174
278085,2017,2017-01,37,34,12,8,0,35,19,42,128.4433,19.3514,0.7159
233120,,2017-02,32,35,0,8,0,35,0,28,16.5616,23.6331,4.5299
269082,,2017-03,35,41,0,6,0,46,14,33,54.8737,32.1503,3.7893
342753,,2017-04,36,42,0,11,28,63,15,39,65.8734,35.9446,10.2146
437852,,2017-05,39,47,7,7,20,54,24,53,134.2553,35.9273,13.648
496974,,2017-06,29,34,12,6,0,37,25,57,168.1684,38.5528,16.5547
244427,,2017-07,34,35,0,12,0,25,0,29,178.8902,32.6545,20.5397
288315,,2017-08,27,27,0,11,0,31,17,24,231.5711,31.3684,19.6623
314399,,2017-09,32,31,0,11,0,28,15,28,121.1322,30.954,17.7142
230196,,2017-10,33,35,0,8,0,39,16,26,0,30.7655,10.7494
137083,,2017-11,27,31,0,7,0,28,18,28,4.1448,25.603,5.3988
208711,,2017-12,22,21,9,3,46,37,13,44,21.2545,22.1572,3.8086
242617,2018,2018-01,23,18,0,11,21,31,12,31,15.857,21.3309,2.2443
198544,,2018-02,18,13,11,9,66,24,7,25,27.9939,24.3072,3.5015
241722,,2018-03,19,15,0,6,0,33,19,32,26.6587,30.2902,8.4087
303675,,2018-04,20,21,27,6,0,37,23,37,68.3762,33.991,11.1228
398789,,2018-05,17,17,0,6,0,38,12,50,75.5374,37.2069,13.3778
403038,,2018-06,24,23,0,13,0,23,30,36,191.5209,36.2747,17.5986
203486,,2018-07,20,20,0,7,50,20,13,21,304.2755,32.3601,18.5474
243659,,2018-08,18,22,0,8,0,17,0,17,203.6563,30.5482,19.5748
270853,,2018-09,18,15,0,10,28,20,0,18,261.2453,30.5306,16.187
195667,,2018-10,19,19,0,11,0,24,9,19,6.5333,29.3694,10.0753
114514,,2018-11,19,20,8,10,0,30,9,23,40.8273,25.561,7.4043
178449,,2018-12,22,22,0,10,0,29,15,37,5.465,21.2091,1.0696
251834,2019,2019-01,20,19,0,7,14,30,0,28,65.2781,19.063,1.1336
204910,,2019-02,20,24,0,10,0,33,13,24,145.5418,19.4083,2.7269
248007,,2019-03,19,20,0,9,19,30,7,24,59.2753,28.7848,3.6249
315567,,2019-04,16,16,0,6,0,41,21,29,39.4344,33.4465,11.1955
417894,,2019-05,22,19,22,8,0,44,18,43,63.2645,37.291,14.821
428088,,2019-06,22,25,21,9,0,39,23,42,70.7657,37.8205,16.3727
212030,,2019-07,18,21,0,5,0,28,0,25,212.3035,34.2403,18.8988
253127,,2019-08,42,22,11,62,0,20,17,19,246.1636,31.4673,18.8517
285213,,2019-09,29,27,0,24,0,27,21,23,78.5717,31.0844,17.3167
213314,,2019-10,26,34,0,11,16,30,16,23,15.7534,27.5186,12.1679
133885,,2019-11,27,29,21,13,15,38,12,27,34.5823,24.8986,7.6955
198985,,2019-12,34,41,7,9,0,49,22,44,29.8674,20.4428,1.7987
272933,2020,2020-01,56,49,22,53,100,42,32,34,127.7578,16.8647,1.0921
131144,,2020-02,76,49,30,100,20,24,18,28,19.0308,22.5133,1.869
61008,,2020-03,41,39,17,30,49,14,8,14,134.5671,24.1567,5.6828
25,,2020-04,36,34,15,25,0,4,11,4,66.1115,31.9304,9.6553
23,,2020-05,31,30,7,22,37,4,0,4,62.2979,36.9007,13.407
0,,2020-06,28,29,9,19,0,6,9,4,103.5027,34.4175,15.5622
0,,2020-07,25,27,0,19,0,3,6,5,172.6453,33.5921,18.9145
0,,2020-08,23,23,0,11,0,3,0,7,147.239,32.4725,19.8613
22727,,2020-09,21,24,0,18,0,7,10,12,13.9004,31.9908,17.3268
31182,,2020-10,25,26,7,10,0,8,6,19,0,30.7166,10.0883
26185,,2020-11,24,26,23,13,0,12,12,20,53.8793,25.9824,5.0562
75086,,2020-12,32,33,0,13,15,22,14,37,14.9033,21.8076,2.2022
81296,2021,2021-01,27,29,9,15,0,19,0,44,25.95,20.1807,2.3887
49794,,2021-02,23,24,40,13,25,18,24,30,45.0443,26.5849,2.9171
62273,,2021-03,27,31,0,12,15,18,14,26,45.3285,30.1538,7.7623
27245,,2021-04,23,26,14,11,0,6,0,14,105.2057,33.7684,9.2301
8161,,2021-05,23,26,13,10,0,5,0,6,106.6955,34.4856,13.9056
87347,,2021-06,25,31,46,9,0,7,12,25,88.9677,35.4925,16.2775
115331,,2021-07,22,24,0,10,0,8,0,28,195.1774,35.0488,19.7277
45166,,2021-08,26,31,0,13,19,6,0,18,115.7886,32.0051,19.4862
59959,,2021-09,23,27,12,12,32,15,0,23,219.2003,30.616,18.41
73851,,2021-10,33,33,11,9,25,19,0,25,30.3711,31.5078,10.5746
113452,,2021-11,29,29,17,13,34,15,8,29,0.3623,24.6763,7.1524
228742,,2021-12,27,33,15,11,0,12,0,45,12.1932,22.2995,2.1657
223490,2022,2022-01,23,23,19,9,0,11,10,30,135.7143,18.6132,2.6335
209688,,2022-02,24,24,20,16,34,20,0,27,87.6967,21.3718,2.33
261563,,2022-03,24,25,10,10,21,25,13,28,3.3079,32.8509,7.5368
294487,,2022-04,24,22,18,15,0,27,17,34,7.7887,36.044,15.1048
353513,,2022-05,24,29,9,9,28,25,9,40,129.2861,37.9353,14.8338
387518,,2022-06,26,26,0,12,0,15,24,45,78.4993,37.7559,16.8292
129273,,2022-07,25,27,0,10,0,10,16,21,264.6783,31.7353,20.0947
122404,,2022-08,19,21,17,9,13,9,13,20,323.5541,32.0297,20.1935
119936,,2022-09,21,24,6,8,0,11,17,20,159.3717,30.9896,16.9878
134331,,2022-10,22,27,0,8,0,14,33,20,59.7043,29.929,11.5258
127651,,2022-11,20,21,8,11,0,16,9,26,5.9898,25.8127,7.2359
212113,,2022-12,24,28,0,11,0,17,10,32,1.3277,23.0923,3.1952
