,Year,Month,Total Tourists,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Shimla”,Trains to “Shimla”,Category : Hotels ,Rain,T_Max,T_Min
0,2010,Jan,172312,33,42,0,10,0,51,0,40,11.4156,19.98,2.03
1,2010,Feb,161860,29,32,50,16,0,0,0,66,73.3616,24.85,3.66
2,2010,Mar,188961,35,47,51,5,0,81,20,78,25.8435,31.64,8.52
3,2010,Apr,363600,36,47,0,0,0,100,0,100,25.628,37.6,13.62
4,2010,May,369630,41,45,100,12,0,39,44,94,56.6109,38.56,14.89
5,2010,Jun,408653,35,43,34,22,62,32,0,90,122.9238,37.46,15.0
6,2010,Jul,192791,67,53,0,16,0,16,26,39,362.2667,32.24,17.78
7,2010,Aug,134041,62,70,0,9,0,27,62,33,298.9171,29.91,19.87
8,2010,Sep,199807,43,45,0,3,0,36,37,34,165.0393,29.34,15.67
9,2010,Oct,135361,42,36,23,4,0,32,40,56,25.6397,29.42,10.12
10,2010,Nov,108520,30,40,0,12,0,28,23,41,17.8269,26.14,5.3
11,2010,Dec,177765,31,30,0,10,0,35,24,46,43.0806,21.02,2.68
12,2011,Jan,191790,21,16,0,9,63,23,33,45,17.4363,17.78,1.39
13,2011,Feb,181459,22,25,0,10,0,14,0,38,34.2978,22.24,4.17
14,2011,Mar,211635,20,21,30,5,0,41,0,44,13.27,29.16,6.56
15,2011,Apr,408219,26,28,38,6,0,47,66,68,27.048,33.63,9.79
16,2011,May,402197,28,33,0,10,0,50,0,68,53.032,35.65,16.01
17,2011,Jun,444430,34,41,0,9,0,33,52,58,319.9445,34.27,14.13
18,2011,Jul,210207,33,23,0,13,0,25,0,30,481.3252,31.72,19.75
19,2011,Aug,236867,25,23,0,14,0,18,44,36,424.7342,31.51,18.82
20,2011,Sep,220631,29,29,0,7,0,41,15,36,121.0124,31.31,17.16
21,2011,Oct,167703,26,28,0,9,0,34,0,36,0.0,29.05,10.61
22,2011,Nov,111232,23,26,0,9,0,25,14,41,0.0,25.5,6.78
23,2011,Dec,166067,27,25,15,7,0,27,0,43,11.0331,23.29,1.73
24,2012,Jan,208026,31,25,15,12,0,22,36,29,64.3519,17.55,0.57
25,2012,Feb,187414,27,25,0,10,0,0,36,32,14.3368,21.49,-0.42
26,2012,Mar,206098,31,32,16,16,0,31,15,37,8.8013,29.83,4.42
27,2012,Apr,359463,29,29,0,9,0,31,12,38,30.0535,31.75,11.06
28,2012,May,447560,31,30,0,12,0,28,26,53,1.3844,39.03,12.67
29,2012,Jun,477202,31,30,25,11,27,17,23,46,43.9794,38.31,18.9
30,2012,Jul,228014,33,33,15,11,0,16,0,36,335.2097,36.67,20.16
31,2012,Aug,292884,25,20,31,9,0,21,13,29,382.1077,30.88,19.7
32,2012,Sep,229864,22,26,0,9,0,22,0,33,116.8181,30.58,16.8
33,2012,Oct,247014,27,27,0,7,0,35,40,31,0.0,29.75,9.2
34,2012,Nov,184362,28,25,37,5,0,31,13,21,1.7464,25.7,5.36
35,2012,Dec,286102,32,30,0,7,0,35,27,51,14.1954,22.51,3.56
36,2013,Jan,230388,31,28,0,6,0,27,9,35,111.9616,18.81,0.45
37,2013,Feb,199065,34,37,0,9,0,18,18,31,144.582,21.01,3.59
38,2013,Mar,228198,22,20,21,6,0,52,11,35,58.5526,26.87,6.27
39,2013,Apr,389618,21,18,61,12,0,47,24,41,16.567,31.93,10.82
40,2013,May,456247,23,22,0,10,0,49,0,47,29.9138,38.57,14.16
41,2013,Jun,150474,19,7,0,10,0,29,17,49,165.4249,36.21,16.74
42,2013,Jul,196836,20,15,12,11,0,16,0,26,113.0902,31.64,20.35
43,2013,Aug,232731,15,16,0,8,0,19,12,20,158.2861,30.62,19.97
44,2013,Sep,254311,18,19,0,11,0,21,19,27,52.0745,30.6,15.8
45,2013,Oct,287020,15,11,0,11,0,37,0,22,35.3797,28.71,10.24
46,2013,Nov,205247,19,24,0,11,0,27,20,27,5.1534,24.8,6.34
47,2013,Dec,326862,23,23,0,7,0,29,0,39,10.734,21.94,1.68
48,2014,Jan,241390,24,29,0,12,0,31,18,28,59.4252,18.8375,1.7369
49,2014,Feb,209093,27,27,26,14,22,27,15,28,100.8237,21.0612,2.3819
50,2014,Mar,231620,19,19,11,8,0,31,0,28,130.1475,25.8675,5.3348
51,2014,Apr,395342,34,41,0,6,0,36,50,37,75.9606,34.7074,9.5652
52,2014,May,464799,35,37,0,10,0,33,44,46,66.663,36.0435,12.3954
53,2014,Jun,245825,56,54,13,9,0,38,36,49,81.7504,38.2157,17.675
54,2014,Jul,209068,56,55,21,12,37,24,63,32,286.3632,34.1653,19.9343
55,2014,Aug,255623,47,44,11,17,80,29,74,36,81.6852,32.3313,19.0106
56,2014,Sep,271305,46,47,0,18,27,36,29,35,71.3312,30.525,16.8266
57,2014,Oct,301406,58,54,16,17,0,24,23,34,21.8498,29.1648,10.547
58,2014,Nov,222378,54,53,23,11,0,32,32,32,0.0,25.4919,6.1395
59,2014,Dec,302023,82,87,21,11,0,33,50,47,47.4104,23.2484,2.3968
60,2015,Jan,258178,86,83,16,18,61,43,56,38,48.7749,18.9557,1.8853
61,2015,Feb,216834,80,78,20,21,46,45,55,28,62.5411,23.644,3.6323
62,2015,Mar,250439,97,100,12,17,67,44,54,33,171.733,29.4273,4.8714
63,2015,Apr,411917,86,88,30,18,59,45,35,46,65.4204,32.119,10.2881
64,2015,May,476733,91,91,15,18,39,50,42,54,15.3396,35.7891,13.3267
65,2015,Jun,263247,100,99,24,19,0,45,100,63,73.3447,35.8998,17.3989
66,2015,Jul,227302,31,27,15,14,0,30,0,27,215.7152,32.2515,18.7907
67,2015,Aug,271660,27,22,18,12,27,22,31,22,174.976,30.8992,19.344
68,2015,Sep,286686,32,29,0,10,0,38,0,27,35.5707,31.0059,15.609
69,2015,Oct,308597,35,33,30,8,20,39,23,25,11.6695,29.9798,9.927
70,2015,Nov,185083,62,48,16,10,93,30,27,27,10.0053,25.1109,7.474
71,2015,Dec,258631,72,75,0,21,24,45,42,47,21.8262,22.5806,2.4179
72,2016,Jan,267595,29,28,0,11,0,35,45,33,28.3976,20.1256,2.2358
73,2016,Feb,222043,27,26,0,7,0,30,34,29,53.9505,23.8566,4.0363
74,2016,Mar,259309,26,32,0,11,38,39,27,33,90.7272,29.3864,8.5703
75,2016,Apr,330841,26,27,0,14,27,54,26,45,33.0939,34.3731,11.8309
76,2016,May,425596,28,28,0,13,0,54,12,50,67.6164,36.6416,15.1632
77,2016,Jun,492727,24,25,0,8,0,42,42,54,117.2465,35.2531,19.1138
78,2016,Jul,235905,23,21,0,10,0,23,28,32,256.0716,31.7815,19.1739
79,2016,Aug,278908,25,23,11,4,0,26,30,28,230.2051,31.3819,19.7026
80,2016,Sep,300273,23,28,13,5,0,30,13,26,22.7543,30.5136,17.4863
81,2016,Oct,321856,30,34,0,14,29,37,0,22,0.8471,30.3707,11.055
82,2016,Nov,177446,40,44,0,8,0,35,48,23,0.0,26.0436,7.66
83,2016,Dec,269606,35,42,10,5,27,34,27,47,4.4351,22.8125,5.1174
84,2017,Jan,278085,37,34,12,8,0,35,19,42,128.4433,19.3514,0.7159
85,2017,Feb,233120,32,35,0,8,0,35,0,28,16.5616,23.6331,4.5299
86,2017,Mar,269082,35,41,0,6,0,46,14,33,54.8737,32.1503,3.7893
87,2017,Apr,342753,36,42,0,11,28,63,15,39,65.8734,35.9446,10.2146
88,2017,May,437852,39,47,7,7,20,54,24,53,134.2553,35.9273,13.648
89,2017,Jun,496974,29,34,12,6,0,37,25,57,168.1684,38.5528,16.5547
90,2017,Jul,244427,34,35,0,12,0,25,0,29,178.8902,32.6545,20.5397
91,2017,Aug,288315,27,27,0,11,0,31,17,24,231.5711,31.3684,19.6623
92,2017,Sep,314399,32,31,0,11,0,28,15,28,121.1322,30.954,17.7142
93,2017,Oct,230196,33,35,0,8,0,39,16,26,0.0,30.7655,10.7494
94,2017,Nov,137083,27,31,0,7,0,28,18,28,4.1448,25.603,5.3988
95,2017,Dec,208711,22,21,9,3,46,37,13,44,21.2545,22.1572,3.8086
96,2018,Jan,242617,23,18,0,11,21,31,12,31,15.857,21.3309,2.2443
97,2018,Feb,198544,18,13,11,9,66,24,7,25,27.9939,24.3072,3.5015
98,2018,Mar,241722,19,15,0,6,0,33,19,32,26.6587,30.2902,8.4087
99,2018,Apr,303675,20,21,27,6,0,37,23,37,68.3762,33.991,11.1228
100,2018,May,398789,17,17,0,6,0,38,12,50,75.5374,37.2069,13.3778
101,2018,Jun,403038,24,23,0,13,0,23,30,36,191.5209,36.2747,17.5986
102,2018,Jul,203486,20,20,0,7,50,20,13,21,304.2755,32.3601,18.5474
103,2018,Aug,243659,18,22,0,8,0,17,0,17,203.6563,30.5482,19.5748
104,2018,Sep,270853,18,15,0,10,28,20,0,18,261.2453,30.5306,16.187
105,2018,Oct,195667,19,19,0,11,0,24,9,19,6.5333,29.3694,10.0753
106,2018,Nov,114514,19,20,8,10,0,30,9,23,40.8273,25.561,7.4043
107,2018,Dec,178449,22,22,0,10,0,29,15,37,5.465,21.2091,1.0696
108,2019,Jan,251834,20,19,0,7,14,30,0,28,65.2781,19.063,1.1336
109,2019,Feb,204910,20,24,0,10,0,33,13,24,145.5418,19.4083,2.7269
110,2019,Mar,248007,19,20,0,9,19,30,7,24,59.2753,28.7848,3.6249
111,2019,Apr,315567,16,16,0,6,0,41,21,29,39.4344,33.4465,11.1955
112,2019,May,417894,22,19,22,8,0,44,18,43,63.2645,37.291,14.821
113,2019,Jun,428088,22,25,21,9,0,39,23,42,70.7657,37.8205,16.3727
114,2019,Jul,212030,18,21,0,5,0,28,0,25,212.3035,34.2403,18.8988
115,2019,Aug,253127,42,22,11,62,0,20,17,19,246.1636,31.4673,18.8517
116,2019,Sep,285213,29,27,0,24,0,27,21,23,78.5717,31.0844,17.3167
117,2019,Oct,213314,26,34,0,11,16,30,16,23,15.7534,27.5186,12.1679
118,2019,Nov,133885,27,29,21,13,15,38,12,27,34.5823,24.8986,7.6955
119,2019,Dec,198985,34,41,7,9,0,49,22,44,29.8674,20.4428,1.7987
120,2020,Jan,272933,56,49,22,53,100,42,32,34,127.7578,16.8647,1.0921
121,2020,Feb,131144,76,49,30,100,20,24,18,28,19.0308,22.5133,1.869
122,2020,Mar,61008,41,39,17,30,49,14,8,14,134.5671,24.1567,5.6828
123,2020,Apr,25,36,34,15,25,0,4,11,4,66.1115,31.9304,9.6553
124,2020,May,23,31,30,7,22,37,4,0,4,62.2979,36.9007,13.407
125,2020,Jun,0,28,29,9,19,0,6,9,4,103.5027,34.4175,15.5622
126,2020,Jul,0,25,27,0,19,0,3,6,5,172.6453,33.5921,18.9145
127,2020,Aug,0,23,23,0,11,0,3,0,7,147.239,32.4725,19.8613
128,2020,Sep,22727,21,24,0,18,0,7,10,12,13.9004,31.9908,17.3268
129,2020,Oct,31182,25,26,7,10,0,8,6,19,0.0,30.7166,10.0883
