iter	RMSE
0	209881.7163
1	197777.4584
2	186703.8171
3	177777.5568
4	169120.0102
5	160469.0784
6	153080.3399
7	147618.0758
8	140506.7704
9	134241.4178
10	129852.6924
11	123572.8235
12	117388.2728
13	111048.1287
14	106251.0349
15	101466.7399
16	97000.64801
17	92383.17132
18	88140.10958
19	84296.72865
20	80780.77813
21	78072.79328
22	75639.63474
23	72670.41291
24	69685.66113
25	67269.50064
26	65296.73217
27	64180.61632
28	62263.24676
29	60102.18248
30	58340.96423
31	56853.69051
32	55200.64506
33	53907.89306
34	51632.56057
35	50015.18111
36	48587.20549
37	48178.71477
38	46468.08239
39	45082.09543
40	43319.92843
41	42077.01372
42	41665.04748
43	40295.71862
44	39344.55389
45	37928.69585
46	37073.47782
47	36411.5721
48	36040.91456
49	35368.79277
50	34962.34734
51	34267.36585
52	33787.33432
53	33166.88693
54	32626.37259
55	32098.70872
56	31658.07383
57	30836.97064
58	29880.45047
59	29520.59762
60	29251.57614
61	28340.27225
62	27781.16647
63	27455.944
64	26567.66969
65	26195.00483
66	25961.99722
67	25674.21308
68	25395.22685
69	25162.39865
70	24875.20488
71	24400.99317
72	23425.90839
73	23190.98419
74	22987.03704
75	22263.03407
76	22005.10733
77	21333.54226
78	21126.11316
79	20927.50986
80	20238.35929
81	20069.64129
82	19462.29319
83	18895.3595
84	18739.96219
85	18174.97975
86	18005.62705
87	17834.77783
88	17328.7461
89	17180.54954
90	16697.84439
91	16158.85339
92	15997.99245
93	15868.30291
94	15378.11851
95	15136.43059
96	14830.64658
97	14712.59877
98	14416.14216
99	14109.80191
