iter	Passed	Remaining
0	3	391
1	7	363
2	10	343
3	13	333
4	17	327
5	20	321
6	23	316
7	26	309
8	30	307
9	33	301
10	36	297
11	40	293
12	43	288
13	46	284
14	49	278
15	52	274
16	55	270
17	58	266
18	61	261
19	64	257
20	66	250
21	68	243
22	70	237
23	73	233
24	76	230
25	79	225
26	82	222
27	85	219
28	88	215
29	90	211
30	93	207
31	96	204
32	99	202
33	102	198
34	105	195
35	108	192
36	111	189
37	113	185
38	116	182
39	119	179
40	122	176
41	126	174
42	129	171
43	132	168
44	135	165
45	138	162
46	141	159
47	144	156
48	148	154
49	151	151
50	153	147
51	156	144
52	159	141
53	161	137
54	164	134
55	167	131
56	170	128
57	173	125
58	176	122
59	179	119
60	182	116
61	185	113
62	188	110
63	191	107
64	194	104
65	198	102
66	201	99
67	204	96
68	207	93
69	210	90
70	213	87
71	216	84
72	219	81
73	222	78
74	225	75
75	228	72
76	231	69
77	234	66
78	237	63
79	240	60
80	242	56
81	245	53
82	247	50
83	250	47
84	253	44
85	256	41
86	258	38
87	261	35
88	264	32
89	267	29
90	270	26
91	272	23
92	274	20
93	276	17
94	279	14
95	281	11
96	283	8
97	285	5
98	287	2
99	289	0
